"Country.Name","Country.Code","Years.of.Compulsory.Education","Health.Expenditure.per.capita","Diabetes.Prevalence","GDP.per.capita.PPP","Tertiary.Education.Expenditure.per.student","Human.Capital.Index","Life.Expectancy.at.birth","Population"
"Afghanistan","AFG",9,162.78115818,9.59,1934.63675412035,NA,0.389,64.047,36296400
"Albania","ALB",9,759.66698419,10.08,12930.0676756249,14.8028497695923,0.621,78.495,2873457
"Algeria","DZA",10,998.15375388,6.73,15266.4852082981,NA,0.523,76.293,41389198
"Andorra","AND",10,4978.7066016,7.97,NA,23.6573009490967,NA,NA,77001
"Angola","AGO",6,185.82040062,3.94,6650.58493984778,NA,0.361,61.809,29816748
"Antigua and Barbuda","ATG",11,976.3886597,13.17,25145.5412294362,NA,NA,76.519,95426
"Arab World","ARB",9,1014.5592220972,12.0992298680908,17102.1269199991,NA,NA,71.4331225154426,411898965
"Argentina","ARG",14,1531.0383612,5.5,20843.1550677175,16.2564392089844,0.611,76.738,44044811
"Armenia","ARM",12,876.85685658,7.11,9620.81849100036,9.72791957855225,0.572,74.782,2944809
"Aruba","ABW",13,NA,11.62,39454.6298308169,97.2819519042969,NA,76.01,105366
"Australia","AUS",10,4529.88708182,5.07,49653.7158885249,NA,0.803,82.4975609756098,24601860
"Austria","AUT",13,5295.1817721,6.35,53879.2978545168,NA,0.793,81.6414634146342,8797566
"Azerbaijan","AZE",10,1193.05883013,7.11,17525.2796310656,23.311990737915,0.597,72.123,9854033
"Bahamas, The","BHS",12,1435.56751295,13.17,31581.1043896488,NA,NA,75.823,381761
"Bahrain","BHR",9,1866.29732036,16.52,47660.4799076737,NA,0.668,77.038,1494074
"Bangladesh","BGD",5,90.59840433,8.38,3998.4194235515,30.8467407226563,0.479,72.808,159670593
"Barbados","BRB",11,1322.9855087,13.57,18526.008560408,NA,NA,76.057,286233
"Belarus","BLR",9,1151.40884919,5.18,18915.9398914361,18.0342407226563,NA,74.1292682926829,9498264
"Belgium","BEL",12,4667.88228695,4.29,49411.8690997742,NA,0.757,81.4390243902439,11375158
